cwmt_4342	0	a	i know , and michael 's my brother .	我 知 道 ， 迈 克 尔 也 是 我 哥 哥 。
cwmt_11718	0	a	i , however , would err on the side of caution and apply for a new one .	然 而 , 我 也 会 谨 慎 行 事 , 申 请 新 的 .
cwmt_7568	1	a	now im dying , im afraid of nothing so i tell you the truth : i dont like the salty coffee , what a strange bad taste .	我 现 在 奄 奄 一 息 ， 已 经 不 再 有 什 么 顾 忌 ， 所 以 我 就 把 真 相 告 诉 你 吧 ： 我 不 喜 欢 咸 味 咖 啡 ， 它 的 味 道 是 那 么 奇 怪 。
cwmt_1858	1	a	in short , the answer to the question posed by the title of my speech is that the status of hong kong as a separate customs territory is a myth that has been turned into reality .	简 而 言 之 ， 我 的 发 言 题 目 所 提 出 的 问 题 的 答 案 ， 是 香 港 作 为 一 个 单 独 的 关 税 地 区 的 地 位 是 一 个 已 经 变 为 现 实 的 神 话 。
cwmt_16153	0	a	imagine even tonight , the trillion eyes left heavy and moonless .	想 象 一 下 ， 即 使 是 今 晚 ， 万 亿 只 眼 睛 沉 重 而 无 月 亮 。
cwmt_12477	0	a	when colorado-based icom polled its members around the world , it found that australia , brazil and italy returned a top rank of 5 on a 1-to-5 scale rating the importance of the olympics with respect to advertising and promotion in their markets .	( ) 对 全 球 会 员 进 行 了 投 票 发 现 澳 大 利 亚 巴 西 和 意 大 利 的 支 持 率 为 5 倍
cwmt_11599	0	a	the multi - measure similarity has been also introduced into the algorithm .	文 中 还 介 绍 了 多 度 量 相 似 性 算 法 .
cwmt_6949	1	a	increasesof span and variety of bridge have caused many tasks to construction control of cable - stayed bridge .	增 加 的 跨 度 s p a n a n d v a r i e t y o f b r i d g e p a n 有 c a u s e m a n y t a s k s 到 第 9 类 c o n s t r u c t i o n c o n t r o l 斜 拉 桥 。
cwmt_6345	1	a	my scheme , or dream , is to be a university graduate .	我 的 计 划 , 也 可 以 说 , 我 的 梦 想 , 就 是 先 取 得 大 学 毕 业 的 资 格 .
cwmt_2279	1	a	the paper had a great influence on spreading the constitutional thought and inspiring people .	在 传 播 民 主 宪 政 思 想 ， 启 迪 民 智 方 面 ， 产 生 了 重 大 影 响 。
cwmt_14781	1	a	true , young muslims cannot identify with a vacuum . but filling it with assertive britishness is no guarantee of winning hearts and minds .	确 实 ， 年 轻 的 穆 斯 林 不 能 对 着 空 洞 确 认 身 份 ， 但 以 刚 毅 的 英 国 性 来 填 补 这 一 空 洞 不 能 保 证 赢 得 人 心 。
cwmt_10470	0	a	we radiate the feelings and thoughts that we hold inside , whether we speak them or not .	不 管 我 们 说 什 么 我 们 都 会 散 发 出 内 心 的 感 受 和 思 想
cwmt_4206	1	a	" no , " replied the countess , " it was certainly empty during the first act ; " then , resuming the subject of their previous conversation , she said , " and so you really believe it was your mysterious count of monte cristo that gained the prize ?	” “ 没 有 ， ” 伯 爵 夫 人 答 道 ， “ 第 一 幕 的 时 候 当 然 是 空 着 的 。 ” 说 完 这 句 话 ， 她 又 回 到 他 们 刚 才 的 那 个 话 题 上 ， 说 道 ， “ 那 么 您 真 的 相 信 夺 标 的 就 是 那 位 基 督 山 伯 爵 了 ？
cwmt_1694	0	a	it had begun two months before , one afternoon in january not long after franciscus was born .	一 切 是 从 两 个 月 前 开 始 的 ， 那 是 法 兰 西 斯 出 生 后 没 多 久 ， 一 月 的 某 个 下 午 。
cwmt_12108	0	a	though i happily be a supporter of your church for as long as i can .	虽 然 我 很 高 兴 地 成 为 你 教 会 的 支 持 者 只 要 我 能
cwmt_1921	0	a	he looked haggard about the eyes and quite old .	他 看 起 来 很 憔 悴 ， 很 老 。
cwmt_1467	0	a	the people 's courts shall provide interpretation for participants in proceedings who do not understand the language or languages commonly used by the local nationalities .	人 民 法 院 应 当 对 不 通 晓 当 地 民 族 通 用 的 语 言 、 文 字 的 诉 讼 参 与 人 提 供 翻 译 。
cwmt_9874	0	a	we might also feel insipid and flat if we let him bear the full gravity of those cultural debts .	如 果 我 们 让 他 承 受 这 些 文 化 债 务 的 沉 重 压 力 我 们 也 会 感 到 平 淡 和 平 淡
cwmt_13786	0	a	disinfector is easy to configure and use .	易 于 配 置 和 使 用
cwmt_11098	0	a	yr . 16 information cannot make sure but very doubtful .	1 6 份 资 料 不 能 确 定 但 很 值 得 怀 疑
cwmt_7449	1	a	one night , to test her out , we accompanied her to a place that she suggested .	一 天 晚 上 ， 为 了 查 明 她 究 竟 更 喜 欢 什 么 ， 我 们 陪 她 来 到 一 个 她 提 出 要 去 的 窑 子 。
cwmt_2453	1	a	valérie claude-gaudillat , director of mba programmes , says when the mba programme was added to the school 's portfolio it was decided fees would be kept low .	该 校 m b a 课 程 主 管 瓦 莱 丽 ? 克 洛 德 - 戈 迪 亚 ( v a l é r i e c l a u d e - g a u d i l l a t ) 表 示 ， 该 校 增 加 m b a 课 程 时 ， 决 定 将 收 费 保 持 在 低 水 平 。
